Date,Close/Last,Volume,Open,High,Low
09/03/2021,$117.19,2922141,$116.838,$117.58,$116.34
09/02/2021,$117.37,3802306,$118.29,$118.36,$116.9
09/01/2021,$117.45,4402679,$118.01,$118.33,$117.275
08/31/2021,$117.49,6995511,$115.77,$117.6,$115.65
08/30/2021,$115.61,3078210,$115.61,$115.82,$114.63
08/27/2021,$115.12,4204688,$114.605,$115.39,$114.18
08/26/2021,$114.32,5188196,$115.62,$115.77,$113.86
08/25/2021,$115.57,3881496,$115.59,$115.99,$115
08/24/2021,$115.08,3447343,$115.39,$115.85,$114.94
08/23/2021,$115.15,4235113,$114.71,$115.46,$114.71
08/20/2021,$114.63,3486323,$113.98,$115,$113.66
08/19/2021,$114.32,5317417,$114.51,$115.0689,$113.61
08/18/2021,$115.68,4520484,$116.28,$116.735,$115.6
08/17/2021,$116.57,4719788,$116.62,$116.94,$115.56
08/16/2021,$117.54,5976599,$116.693,$117.73,$116.41
08/13/2021,$116.76,4361653,$115.94,$116.83,$115.4
08/12/2021,$115.75,4358487,$116.41,$116.78,$115.51
08/11/2021,$116.5,6472318,$116.34,$117.285,$115.9
08/10/2021,$116.39,9839675,$118.39,$118.5,$115.98
08/09/2021,$117.94,4557888,$118.99,$119.02,$117.75
08/06/2021,$119.05,6832572,$119.14,$119.21,$118.08
08/05/2021,$119.03,4281905,$118.72,$119.09,$118.11
08/04/2021,$118.25,6675845,$119.13,$119.21,$117.57
08/03/2021,$119.13,6030518,$120.57,$120.75,$117.5201
08/02/2021,$120.37,5996786,$122.027,$122.98,$120.065
07/30/2021,$121.43,5712315,$122.19,$122.98,$121.1
07/29/2021,$122.38,6618350,$122.93,$123.47,$122.14
07/28/2021,$122.41,11747040,$122.555,$123.33,$121.39
07/27/2021,$126.03,6110914,$126.08,$126.16,$124.81
07/26/2021,$126.06,4827462,$125.74,$126.1,$124.2501
07/23/2021,$125.97,7934201,$124.55,$126.32,$123.92
07/22/2021,$122.63,7172344,$119.34,$122.92,$119.07
07/21/2021,$119.27,4377463,$117.54,$119.65,$117.48
07/20/2021,$117.42,5118174,$115.63,$118.0696,$115.33
07/19/2021,$115.32,7731263,$117.54,$117.55,$114.33
07/16/2021,$118.73,5024843,$119.675,$120.48,$118.5
07/15/2021,$118.97,6467481,$119.29,$119.5795,$118.18
07/14/2021,$119.8,5701765,$119.94,$120.825,$119.68
07/13/2021,$119.55,5529344,$118.54,$119.99,$118.45
07/12/2021,$118.46,5683576,$117.75,$118.775,$117.39
07/09/2021,$117.47,3533636,$116.06,$117.7375,$116
07/08/2021,$115.99,4486121,$115.45,$116.76,$115.24
07/07/2021,$117.14,5382304,$115.88,$117.77,$115.65
07/06/2021,$115.73,5294660,$115.08,$115.85,$114.32
07/02/2021,$114.97,4723386,$113.97,$115.3,$113.71
07/01/2021,$113.41,4810618,$111.95,$113.49,$111.81
06/30/2021,$111.81,6759115,$112.34,$112.59,$111.27
06/29/2021,$112.27,3789517,$112.07,$112.69,$111.53
06/28/2021,$112.24,4546564,$112.93,$113.05,$111.445
06/25/2021,$113.04,12171220,$112.75,$113.22,$112.22
06/24/2021,$111.99,3840030,$111.78,$112.91,$111.78
06/23/2021,$111.56,3552086,$111.275,$111.97,$111.14
06/22/2021,$111.85,3583547,$111.07,$112.26,$110.6
06/21/2021,$110.97,5628664,$110,$111.37,$109.68
06/18/2021,$109.7,7024352,$110.74,$110.75,$109.2615
06/17/2021,$111.39,4008537,$111,$111.945,$110.71
06/16/2021,$111.36,4821951,$112.42,$112.57,$110.2
06/15/2021,$111.89,3487317,$112.46,$112.5,$111.56
06/14/2021,$112.45,4222383,$112.78,$113.225,$111.5
06/11/2021,$112.56,3231182,$112.28,$112.83,$112.185
06/10/2021,$112.21,3833190,$111.8,$112.43,$111.4422
06/09/2021,$111.39,3669725,$111.736,$112.19,$111.33
06/08/2021,$111.52,4669852,$111.38,$111.99,$110.86
06/07/2021,$111.33,4009023,$111.98,$112.2768,$110.99
06/04/2021,$111.99,4477543,$111.62,$112.065,$111.05
06/03/2021,$111.12,5723894,$112.01,$112.24,$110.15
06/02/2021,$113,5044970,$113.71,$113.71,$112.745
06/01/2021,$113.34,4306926,$114.558,$114.6237,$113.1
05/28/2021,$113.88,4239973,$114.35,$114.35,$113.05
05/27/2021,$113.51,7378437,$113.47,$114.09,$112.755
05/26/2021,$112.85,3841607,$113.295,$113.866,$112.63
05/25/2021,$112.63,5391837,$112.915,$113.15,$112.18
05/24/2021,$112.52,5436295,$111.798,$113.03,$111.52
05/21/2021,$110.92,5146620,$111.63,$112.22,$110.57
05/20/2021,$111.41,5345545,$109.98,$111.69,$109.87
05/19/2021,$109.67,5997454,$109.6,$109.94,$108.88
05/18/2021,$111.07,5177382,$111.37,$112.21,$111.01
05/17/2021,$110.98,4519580,$111.22,$111.27,$109.83
05/14/2021,$111.2,6836260,$111.01,$111.59,$110.25
05/13/2021,$110.49,7999752,$110.16,$111.18,$109.155
05/12/2021,$109.79,7965263,$111.87,$112.39,$109.56
05/11/2021,$113.55,7775369,$113.32,$113.69,$112.17
05/10/2021,$114.3,5759483,$114.57,$116.085,$114.21
05/07/2021,$114.34,4867501,$115.11,$115.84,$114.24
05/06/2021,$114.74,4113286,$113.65,$114.81,$113.1
05/05/2021,$113.48,4677689,$114.21,$114.88,$113.16
05/04/2021,$114.11,6265098,$115.15,$115.4,$113.535
05/03/2021,$115.72,5049806,$115.18,$116.74,$115.13
04/30/2021,$114.49,6478714,$114,$114.95,$113.49
04/29/2021,$114.63,8936555,$113.21,$115.1499,$112.76
04/28/2021,$112.4,14793490,$113.44,$114.1499,$111.61
04/27/2021,$116.15,7260927,$115.67,$116.3899,$115.27
04/26/2021,$115.92,5924931,$116.95,$117.25,$115.06
04/23/2021,$117.56,4559282,$116.02,$117.98,$115.84
04/22/2021,$115.92,5745110,$116.868,$116.88,$115.225
04/21/2021,$116.74,4397440,$116.09,$117.26,$115.86
04/20/2021,$116.27,5662376,$116.96,$117.2594,$115.35
04/19/2021,$117.6,4889684,$118.17,$118.98,$117.04
04/16/2021,$118.34,5777860,$117.82,$118.5,$116.94
04/15/2021,$116.66,5079094,$115.1,$116.89,$114.78
04/14/2021,$115.16,3994551,$115.22,$116.235,$114.72
04/13/2021,$115.36,4607384,$113.78,$115.6,$113.682
04/12/2021,$113.81,4707805,$113.02,$113.89,$112.77
04/09/2021,$113.18,4114258,$112.91,$113.27,$111.97
04/08/2021,$113.04,5011290,$113.65,$113.96,$112.6799
04/07/2021,$113.19,5629622,$112.91,$113.76,$112.65
04/06/2021,$113.15,6745242,$111.38,$113.82,$111.095
04/05/2021,$111.02,6913105,$109.91,$111.35,$109.87
04/01/2021,$109.38,5792950,$110.06,$110.06,$108.2
03/31/2021,$109.27,6478401,$110.33,$111.6199,$109.19
03/30/2021,$110.27,4552862,$108.42,$110.45,$108.28
03/29/2021,$109.13,5167195,$109.01,$110.25,$106.59
03/26/2021,$109.9,6167570,$107.25,$110,$107.175
03/25/2021,$107.35,8149044,$105.007,$107.7,$104.06
